"Plot1"
"Time (sec)","Motor Torque1 (newton-mm)"
0,-12.9561608785377
0.04,-42.4275439974719
0.08,-62.5186573519793
0.12,-168.090379129386
0.16,-163.174059093857
0.2,-34.1015173102079
0.24,-102.738685203554
0.28,-53.7671414351605
0.32,-43.1248151592175
0.36,-20.6897287348554
0.4,13.4771992486311
0.44,78.1118384267931
0.48,140.872272641228
0.52,195.247077529152
0.56,241.456378543995
0.6,210.204238316467
0.64,62.5648155960378
0.68,38.0792979415674
0.72,-115.787329333213
0.76,-110.695482619804
0.8,-141.248336333204
0.84,-177.911608773886
0.88,-148.869819545366
0.92,-66.1943459116348
0.96,-66.1428225750149
1,-21.111803996188
1.04,-9.5041875560198
1.08,-18.8156942833072
1.12,-27.0154745368481
1.16,-21.5214950338588
1.2,-6.11211232224501
1.24,-4.21522769791663
1.28,-2.87783781059148
1.32,-1.85224572361178
1.36,-0.955238815798015
1.4,0.00249758260687826
1.44,1.27694051988518
1.48,3.22073226330706
1.52,6.15582807146718
1.56,23.4363019417785
1.6,20.5424201579858
1.64,34.5641749356714
1.68,26.1595256030173
1.72,79.8299194207731
1.76,103.098033957753
1.8,115.077441006496
1.84,109.298529245164
1.88,30.2857550320706
1.92,105.094893920385
1.96,20.1846726054486
2,-15.1335049875485
2.04,-77.2825221728624
2.08,-62.5186480644213
2.12,-169.024509831419
2.16,-162.480569038277
2.2,-35.2921086415956
2.24,-54.2883982624108
2.28,-54.5478500956702
2.32,-66.8513936456724
2.36,-30.3697480140813
2.4,12.3383029666212
2.44,83.4814955078663
2.48,140.891617607161
2.52,195.265638607611
2.56,241.198786363115
2.6,210.951560953343
2.64,145.188125136333
2.68,39.2699556676139
2.72,-80.4299858718986
2.76,-164.262910579647
2.8,-197.641043353435
2.84,-140.73314092273
2.88,-148.79713945769
2.92,-66.5278815725805
2.96,-66.1428414768762
3,-43.5148373737645
3.04,-28.4895097345812
3.08,-18.8174354021776
3.12,-12.5859294750321
3.16,-21.1631923730767
3.2,-6.11210389694827
3.24,-4.21522104356341
3.28,-2.8778333880766
3.32,-1.85457773211434
3.36,-0.968959469298149
3.4,0.00271851509455096
3.44,1.62562838344214
3.48,3.13500451397029
3.52,6.39443783509826
3.56,11.7119764185185
3.6,20.5438088881488
3.64,54.1242184868291
3.68,54.8610475476611
3.72,79.831300728831
3.76,103.097681015104
3.8,115.077436655429
3.84,109.298527196158
3.88,87.0943848393048
3.92,57.6103823904073
3.96,20.1848594191217
4,-13.0618081641971
4.04,-42.5093551917958
4.08,-66.9219825300372
4.12,-85.9838498069528
4.16,-80.5093228755338
4.2,-84.8946602648548
4.24,-54.5494445016211
4.28,-90.5688528873097
4.32,-43.6033156320649
4.36,-20.8981359902848
4.4,20.1855442888716
4.44,56.0627387191659
4.48,150.3909068318
4.52,208.685545753648
4.5274227395119,202.629627249142
